Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume
2018/1/1 1:00,000000001157,2,EB_OS,2,East,0,16,Holiday,23333,0,0,0,0,0,0,0
2018/1/1 1:00,000000001157,3,WB_OS,1,West,0,16,Holiday,23333,0,0,0,0,0,0,0
2018/1/1 1:00,000000001157,4,WB_NS,1,West,0,16,Holiday,23333,0,0,0,0,0,0,0
2018/1/1 1:05,000000001157,1,EB_NS,2,East,4,16,Holiday,18264,0,0,4,0,0,0,0
2018/1/1 1:05,000000001157,2,EB_OS,2,East,0,16,Holiday,18264,0,0,0,0,0,0,0
2018/1/1 1:05,000000001157,3,WB_OS,1,West,0,16,Holiday,18264,0,0,0,0,0,0,0
2018/1/1 1:05,000000001157,4,WB_NS,1,West,0,16,Holiday,18264,0,0,0,0,0,0,0
2018/1/1 1:10,000000001157,1,EB_NS,2,East,1,16,Holiday,13889,0,0,1,0,0,0,0
2018/1/1 1:10,000000001157,2,EB_OS,2,East,0,16,Holiday,13889,0,0,0,0,0,0,0
2018/1/1 1:10,000000001157,3,WB_OS,1,West,0,16,Holiday,13889,0,0,0,0,0,0,0
2018/1/1 1:10,000000001157,4,WB_NS,1,West,0,16,Holiday,13889,0,0,0,0,0,0,0
2018/1/1 1:15,000000001157,1,EB_NS,2,East,7,16,Holiday,19127,143,0,6,0,1,0,0
2018/1/1 1:15,000000001157,2,EB_OS,2,East,0,16,Holiday,19127,0,0,0,0,0,0,0
2018/1/1 1:15,000000001157,3,WB_OS,1,West,0,16,Holiday,19127,0,0,0,0,0,0,0
2018/1/1 1:15,000000001157,4,WB_NS,1,West,0,16,Holiday,19127,0,0,0,0,0,0,0
2018/1/1 1:20,000000001157,1,EB_NS,2,East,6,16,Holiday,21713,0,0,6,0,0,0,0
2018/1/1 1:20,000000001157,2,EB_OS,2,East,0,16,Holiday,21713,0,0,0,0,0,0,0
2018/1/1 1:20,000000001157,3,WB_OS,1,West,0,16,Holiday,21713,0,0,0,0,0,0,0
2018/1/1 1:20,000000001157,4,WB_NS,1,West,0,16,Holiday,21713,0,0,0,0,0,0,0
2018/1/1 1:25,000000001157,1,EB_NS,2,East,1,16,Holiday,21944,0,0,1,0,0,0,0
2018/1/1 1:25,000000001157,2,EB_OS,2,East,0,16,Holiday,21944,0,0,0,0,0,0,0
2018/1/1 1:25,000000001157,3,WB_OS,1,West,0,16,Holiday,21944,0,0,0,0,0,0,0
2018/1/1 1:25,000000001157,4,WB_NS,1,West,0,16,Holiday,21944,0,0,0,0,0,0,0
2018/1/1 1:30,000000001157,1,EB_NS,2,East,4,16,Holiday,19514,0,0,4,0,0,0,0
2018/1/1 1:30,000000001157,2,EB_OS,2,East,0,16,Holiday,19514,0,0,0,0,0,0,0
2018/1/1 1:30,000000001157,3,WB_OS,1,West,0,16,Holiday,19514,0,0,0,0,0,0,0
2018/1/1 1:30,000000001157,4,WB_NS,1,West,0,16,Holiday,19514,0,0,0,0,0,0,0
2018/1/1 1:35,000000001157,1,EB_NS,2,East,2,16,Holiday,20694,0,0,2,0,0,0,0
2018/1/1 1:35,000000001157,2,EB_OS,2,East,0,16,Holiday,20694,0,0,0,0,0,0,0
2018/1/1 1:35,000000001157,3,WB_OS,1,West,0,16,Holiday,20694,0,0,0,0,0,0,0
2018/1/1 1:35,000000001157,4,WB_NS,1,West,0,16,Holiday,20694,0,0,0,0,0,0,0
2018/1/1 1:40,000000001157,1,EB_NS,2,East,4,16,Holiday,18264,0,0,4,0,0,0,0
2018/1/1 1:40,000000001157,2,EB_OS,2,East,0,16,Holiday,18264,0,0,0,0,0,0,0
2018/1/1 1:40,000000001157,3,WB_OS,1,West,0,16,Holiday,18264,0,0,0,0,0,0,0
2018/1/1 1:40,000000001157,4,WB_NS,1,West,0,16,Holiday,18264,0,0,0,0,0,0,0
2018/1/1 1:45,000000001157,1,EB_NS,2,East,6,16,Holiday,18565,0,0,6,0,0,0,0
2018/1/1 1:45,000000001157,2,EB_OS,2,East,0,16,Holiday,18565,0,0,0,0,0,0,0
2018/1/1 1:45,000000001157,3,WB_OS,1,West,0,16,Holiday,18565,0,0,0,0,0,0,0
2018/1/1 1:45,000000001157,4,WB_NS,1,West,0,16,Holiday,18565,0,0,0,0,0,0,0
2018/1/1 1:50,000000001157,1,EB_NS,2,East,7,16,Holiday,22341,0,0,7,0,0,0,0
2018/1/1 1:50,000000001157,2,EB_OS,2,East,0,16,Holiday,22341,0,0,0,0,0,0,0
2018/1/1 1:50,000000001157,3,WB_OS,1,West,0,16,Holiday,22341,0,0,0,0,0,0,0
2018/1/1 1:50,000000001157,4,WB_NS,1,West,0,16,Holiday,22341,0,0,0,0,0,0,0
2018/1/1 1:55,000000001157,1,EB_NS,2,East,2,16,Holiday,17362,0,0,2,0,0,0,0
2018/1/1 1:55,000000001157,2,EB_OS,2,East,0,16,Holiday,17362,0,0,0,0,0,0,0
2018/1/1 1:55,000000001157,3,WB_OS,1,West,0,16,Holiday,17362,0,0,0,0,0,0,0
2018/1/1 1:55,000000001157,4,WB_NS,1,West,0,16,Holiday,17362,0,0,0,0,0,0,0
2018/1/1 2:00,000000001157,1,EB_NS,2,East,6,16,Holiday,18380,167,0,5,0,1,0,0
2018/1/1 2:00,000000001157,2,EB_OS,2,East,0,16,Holiday,18380,0,0,0,0,0,0,0
2018/1/1 2:00,000000001157,3,WB_OS,1,West,0,16,Holiday,18380,0,0,0,0,0,0,0
2018/1/1 2:00,000000001157,4,WB_NS,1,West,0,16,Holiday,18380,0,0,0,0,0,0,0
2018/1/1 2:05,000000001157,1,EB_NS,2,East,6,16,Holiday,17315,0,0,6,0,0,0,0
2018/1/1 2:05,000000001157,2,EB_OS,2,East,0,16,Holiday,17315,0,0,0,0,0,0,0
