Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume
2018/1/1 12:00,000000001157,2,EB_OS,2,East,0,16,Holiday,13532,0,0,0,0,0,0,0
2018/1/1 12:00,000000001157,3,WB_OS,1,West,0,16,Holiday,13532,0,0,0,0,0,0,0
2018/1/1 12:00,000000001157,4,WB_NS,1,West,0,16,Holiday,13532,0,0,0,0,0,0,0
2018/1/1 13:00,000000001157,1,EB_NS,2,East,10,16,Holiday,19750,0,0,10,0,0,0,0
2018/1/1 13:00,000000001157,2,EB_OS,2,East,0,16,Holiday,19750,0,0,0,0,0,0,0
2018/1/1 13:00,000000001157,3,WB_OS,1,West,0,16,Holiday,19750,0,0,0,0,0,0,0
2018/1/1 13:00,000000001157,4,WB_NS,1,West,0,16,Holiday,19750,0,0,0,0,0,0,0
2018/1/1 14:00,000000001157,1,EB_NS,2,East,17,16,Holiday,16209,0,0,17,0,0,0,0
2018/1/1 14:00,000000001157,2,EB_OS,2,East,0,16,Holiday,16209,0,0,0,0,0,0,0
2018/1/1 14:00,000000001157,3,WB_OS,1,West,0,16,Holiday,16209,0,0,0,0,0,0,0
2018/1/1 14:00,000000001157,4,WB_NS,1,West,0,16,Holiday,16209,0,0,0,0,0,0,0
2018/1/1 15:00,000000001157,1,EB_NS,2,East,17,16,Holiday,17402,0,0,17,0,0,0,0
2018/1/1 15:00,000000001157,2,EB_OS,2,East,0,16,Holiday,17402,0,0,0,0,0,0,0
2018/1/1 15:00,000000001157,3,WB_OS,1,West,0,16,Holiday,17402,0,0,0,0,0,0,0
2018/1/1 15:00,000000001157,4,WB_NS,1,West,0,16,Holiday,17402,0,0,0,0,0,0,0
2018/1/1 16:00,000000001157,1,EB_NS,2,East,15,16,Holiday,16408,0,0,15,0,0,0,0
2018/1/1 16:00,000000001157,2,EB_OS,2,East,0,16,Holiday,16408,0,0,0,0,0,0,0
2018/1/1 16:00,000000001157,3,WB_OS,1,West,0,16,Holiday,16408,0,0,0,0,0,0,0
2018/1/1 16:00,000000001157,4,WB_NS,1,West,0,16,Holiday,16408,0,0,0,0,0,0,0
2018/1/1 17:00,000000001157,1,EB_NS,2,East,20,16,Holiday,17000,0,0,20,0,0,0,0
2018/1/1 17:00,000000001157,2,EB_OS,2,East,0,16,Holiday,17000,0,0,0,0,0,0,0
2018/1/1 17:00,000000001157,3,WB_OS,1,West,0,16,Holiday,17000,0,0,0,0,0,0,0
2018/1/1 17:00,000000001157,4,WB_NS,1,West,0,16,Holiday,17000,0,0,0,0,0,0,0
2018/1/1 18:00,000000001157,1,EB_NS,2,East,24,16,Holiday,16342,0,0,24,0,0,0,0
2018/1/1 18:00,000000001157,2,EB_OS,2,East,0,16,Holiday,16342,0,0,0,0,0,0,0
2018/1/1 18:00,000000001157,3,WB_OS,1,West,0,16,Holiday,16342,0,0,0,0,0,0,0
2018/1/1 18:00,000000001157,4,WB_NS,1,West,0,16,Holiday,16342,0,0,0,0,0,0,0
